Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SmLE-PZQ-ER-RNA-juv-m.2	36027139.0	302.0	21849449.0	60.65	291.11	22662081.0	21873214.0	22479738.0	130414.0	16086.0	35843.0	0.36	0.01	2.39	0.01	1.76	1578830.0	4.38	3055073.0	8.48	0.0	21.03	5.46	0	7576664	1967123
SmLE-PZQ-ER-RNA-juv-m.3	37690079.0	302.0	22679354.0	60.17	293.28	24370108.0	23554315.0	24177181.0	139075.0	18081.0	35771.0	0.36	0.01	2.39	0.01	1.79	1602781.0	4.25	4128729.0	10.95	0.0	17.2	7.42	0	6482636	2796579
SmLE-PZQ-ES-RNA-adu-f.1	31802117.0	302.0	13092321.0	41.17	291.59	9105279.0	8730791.0	9019054.0	43264.0	10225.0	32736.0	0.27	0.02	2.66	0.02	1.71	2770446.0	8.71	5972163.0	18.78	0.0	22.18	9.16	0	7053995	2913192
SmLE-PZQ-ES-RNA-adu-f.2	46689501.0	302.0	17229475.0	36.9	290.67	10186896.0	9689847.0	10086917.0	48119.0	9517.0	42343.0	0.3	0.02	2.67	0.02	1.54	4643436.0	9.95	9918746.0	21.24	0.0	20.84	11.07	0	9729585	5168259
SmLE-PZQ-ES-RNA-adu-f.3	59687567.0	302.0	23613907.0	39.56	290.32	16002854.0	15274205.0	15852895.0	74721.0	14935.0	60303.0	0.29	0.02	2.93	0.02	1.48	6058887.0	10.15	11694261.0	19.59	0.0	20.94	9.75	0	12500212	5820300
SmLE-PZQ-ES-RNA-adu-m.1	26949560.0	302.0	11848935.0	43.97	291.68	10457925.0	10086956.0	10373608.0	48898.0	12419.0	23000.0	0.28	0.02	2.34	0.02	1.62	925083.0	3.43	5185367.0	19.24	0.0	22.92	10.44	0	6176703	2813472
SmLE-PZQ-ES-RNA-adu-m.2	37742546.0	302.0	12773629.0	33.84	290.87	7864023.0	7535856.0	7793068.0	32628.0	8273.0	30054.0	0.3	0.02	2.28	0.02	1.51	1193284.0	3.16	9877654.0	26.17	0.0	22.38	14.44	0	8447495	5450484
SmLE-PZQ-ES-RNA-adu-m.3	32885766.0	302.0	14845600.0	45.14	290.98	12687774.0	12222426.0	12585610.0	57023.0	14827.0	30314.0	0.28	0.02	2.39	0.02	1.59	1136435.0	3.46	5326849.0	16.2	0.0	26.32	8.88	0	8656350	2920532
SmLE-PZQ-ES-RNA-juv-f.1	27791153.0	302.0	15125335.0	54.42	288.16	15828508.0	15291676.0	15698926.0	90403.0	12972.0	26207.0	0.35	0.01	2.31	0.01	1.8	1044968.0	3.76	1911064.0	6.88	0.0	30.83	4.11	0	8567622	1142164
SmLE-PZQ-ES-RNA-juv-f.2	34017720.0	302.0	21454863.0	63.07	291.4	22193359.0	21428214.0	22012964.0	126269.0	16331.0	37795.0	0.35	0.01	2.31	0.01	1.84	1455229.0	4.28	2220234.0	6.53	0.0	22.08	4.05	0	7509899	1377495
SmLE-PZQ-ES-RNA-juv-f.3	32388232.0	302.0	21375257.0	66.0	292.53	22395270.0	21646839.0	22215284.0	126994.0	16034.0	36958.0	0.36	0.01	2.32	0.01	1.83	1452473.0	4.48	1921105.0	5.93	0.0	19.97	3.62	0	6467094	1172303
SmLE-PZQ-ES-RNA-juv-m.1	33847051.0	302.0	20631402.0	60.95	291.95	22005087.0	21291512.0	21832028.0	122122.0	17722.0	33215.0	0.35	0.01	2.41	0.01	1.79	1395790.0	4.12	2986180.0	8.82	0.0	20.32	5.78	0	6877408	1956271
SmLE-PZQ-ES-RNA-juv-m.2	32762558.0	302.0	19683615.0	60.08	290.51	21732213.0	21038664.0	21562784.0	120377.0	18175.0	30877.0	0.36	0.01	2.32	0.01	1.77	1318576.0	4.02	2661653.0	8.12	0.0	22.81	4.96	0	7473593	1625121
SmLE-PZQ-ES-RNA-juv-m.3	31611263.0	302.0	16930611.0	53.56	288.33	17745727.0	17147881.0	17603265.0	99454.0	15100.0	27908.0	0.36	0.01	2.33	0.01	1.77	1204649.0	3.81	2328970.0	7.37	0.0	30.77	4.5	0	9724814	1422219
